SchNumb,Subgroup,SY,Year,Number_Attending,Regular_Attendance_Rate,SchoolName_Mapped,District_Mapped,Level Mapped
1,Female,2020-21,2021,36376.0,0.7559,albuquerque district,albuquerque,district
1,Male,2020-21,2021,37369.0,0.7315,albuquerque district,albuquerque,district
1,White,2020-21,2021,14455.0,0.8502000000000001,albuquerque district,albuquerque,district
1,Black,2020-21,2021,1793.0,0.6771,albuquerque district,albuquerque,district
1,Hispanic,2020-21,2021,49554.0,0.7129000000000001,albuquerque district,albuquerque,district
1,Asian,2020-21,2021,1494.0,0.9143,albuquerque district,albuquerque,district
1,Native,2020-21,2021,3973.0,0.6695,albuquerque district,albuquerque,district
1,EL,2020-21,2021,13814.0,0.672,albuquerque district,albuquerque,district
1,Migrant,2020-21,2021,,,albuquerque district,albuquerque,district
2,Female,2020-21,2021,46.0,0.8913000000000001,reserve district,reserve,district
2,Male,2020-21,2021,52.0,0.6538,reserve district,reserve,district
2,White,2020-21,2021,56.0,0.7679,reserve district,reserve,district
2,Black,2020-21,2021,,,reserve district,reserve,district
2,Hispanic,2020-21,2021,40.0,0.775,reserve district,reserve,district
2,Asian,2020-21,2021,,,reserve district,reserve,district
2,Native,2020-21,2021,,,reserve district,reserve,district
2,EL,2020-21,2021,,,reserve district,reserve,district
2,Migrant,2020-21,2021,,,reserve district,reserve,district
3,Female,2020-21,2021,61.0,0.8852000000000001,quemado district,quemado,district
3,Male,2020-21,2021,74.0,,quemado district,quemado,district
3,White,2020-21,2021,80.0,,quemado district,quemado,district
3,Black,2020-21,2021,,,quemado district,quemado,district
3,Hispanic,2020-21,2021,29.0,,quemado district,quemado,district
3,Asian,2020-21,2021,,,quemado district,quemado,district
3,Native,2020-21,2021,16.0,0.6875,quemado district,quemado,district
3,EL,2020-21,2021,,,quemado district,quemado,district
3,Migrant,2020-21,2021,,,quemado district,quemado,district
4,Female,2020-21,2021,4294.0,0.6025,roswell district,roswell,district
4,Male,2020-21,2021,4465.0,0.5749000000000001,roswell district,roswell,district
4,White,2020-21,2021,1991.0,0.667,roswell district,roswell,district
4,Black,2020-21,2021,191.0,0.5079,roswell district,roswell,district
4,Hispanic,2020-21,2021,6461.0,0.5638000000000001,roswell district,roswell,district
4,Asian,2020-21,2021,70.0,0.8,roswell district,roswell,district
4,Native,2020-21,2021,35.0,0.6286,roswell district,roswell,district
4,EL,2020-21,2021,1018.0,0.5855,roswell district,roswell,district
4,Migrant,2020-21,2021,54.0,0.537,roswell district,roswell,district
5,Female,2020-21,2021,139.0,0.6403,hagerman district,hagerman,district
5,Male,2020-21,2021,191.0,0.6387,hagerman district,hagerman,district
5,White,2020-21,2021,85.0,0.6824,hagerman district,hagerman,district
5,Black,2020-21,2021,,,hagerman district,hagerman,district
5,Hispanic,2020-21,2021,240.0,0.6208,hagerman district,hagerman,district
5,Asian,2020-21,2021,,,hagerman district,hagerman,district
5,Native,2020-21,2021,,,hagerman district,hagerman,district
5,EL,2020-21,2021,85.0,0.5882000000000001,hagerman district,hagerman,district
5,Migrant,2020-21,2021,38.0,0.5789000000000001,hagerman district,hagerman,district
6,Female,2020-21,2021,359.0,0.8217,dexter district,dexter,district
6,Male,2020-21,2021,390.0,0.759,dexter district,dexter,district
6,White,2020-21,2021,121.0,0.7769,dexter district,dexter,district
6,Black,2020-21,2021,,,dexter district,dexter,district
6,Hispanic,2020-21,2021,628.0,0.7914,dexter district,dexter,district
6,Asian,2020-21,2021,,,dexter district,dexter,district
6,Native,2020-21,2021,,,dexter district,dexter,district
6,EL,2020-21,2021,159.0,0.7736000000000001,dexter district,dexter,district
6,Migrant,2020-21,2021,36.0,0.6389,dexter district,dexter,district
7,Female,2020-21,2021,49.0,,lake arthur district,lake arthur,district
7,Male,2020-21,2021,45.0,,lake arthur district,lake arthur,district
7,White,2020-21,2021,30.0,,lake arthur district,lake arthur,district
7,Black,2020-21,2021,,,lake arthur district,lake arthur,district
7,Hispanic,2020-21,2021,64.0,,lake arthur district,lake arthur,district
7,Asian,2020-21,2021,,,lake arthur district,lake arthur,district
7,Native,2020-21,2021,,,lake arthur district,lake arthur,district
7,EL,2020-21,2021,17.0,,lake arthur district,lake arthur,district
7,Migrant,2020-21,2021,,,lake arthur district,lake arthur,district
8,Female,2020-21,2021,157.0,0.9299000000000001,cimarron district,cimarron,district
8,Male,2020-21,2021,182.0,0.9615,cimarron district,cimarron,district
8,White,2020-21,2021,145.0,0.9379000000000001,cimarron district,cimarron,district
8,Black,2020-21,2021,,,cimarron district,cimarron,district
8,Hispanic,2020-21,2021,182.0,0.9560000000000001,cimarron district,cimarron,district
8,Asian,2020-21,2021,,,cimarron district,cimarron,district
8,Native,2020-21,2021,,,cimarron district,cimarron,district
8,EL,2020-21,2021,12.0,,cimarron district,cimarron,district
8,Migrant,2020-21,2021,,,cimarron district,cimarron,district
9,Female,2020-21,2021,342.0,0.8392000000000001,raton district,raton,district
9,Male,2020-21,2021,380.0,0.8605,raton district,raton,district
9,White,2020-21,2021,196.0,0.9082,raton district,raton,district
9,Black,2020-21,2021,,,raton district,raton,district
9,Hispanic,2020-21,2021,514.0,0.8307,raton district,raton,district
9,Asian,2020-21,2021,,,raton district,raton,district
9,Native,2020-21,2021,,,raton district,raton,district
9,EL,2020-21,2021,22.0,,raton district,raton,district
9,Migrant,2020-21,2021,,,raton district,raton,district
10,Female,2020-21,2021,58.0,0.7414000000000001,springer district,springer,district
10,Male,2020-21,2021,61.0,0.7705000000000001,springer district,springer,district
10,White,2020-21,2021,25.0,0.8,springer district,springer,district
10,Black,2020-21,2021,,,springer district,springer,district
10,Hispanic,2020-21,2021,94.0,0.7447,springer district,springer,district
10,Asian,2020-21,2021,,,springer district,springer,district
10,Native,2020-21,2021,,,springer district,springer,district
10,EL,2020-21,2021,,,springer district,springer,district
10,Migrant,2020-21,2021,,,springer district,springer,district
11,Female,2020-21,2021,61.0,0.8525,maxwell district,maxwell,district
11,Male,2020-21,2021,51.0,0.8627,maxwell district,maxwell,district
11,White,2020-21,2021,43.0,0.8605,maxwell district,maxwell,district
11,Black,2020-21,2021,,,maxwell district,maxwell,district
11,Hispanic,2020-21,2021,69.0,0.8551000000000001,maxwell district,maxwell,district
11,Asian,2020-21,2021,,,maxwell district,maxwell,district
11,Native,2020-21,2021,,,maxwell district,maxwell,district
11,EL,2020-21,2021,,,maxwell district,maxwell,district
11,Migrant,2020-21,2021,,,maxwell district,maxwell,district
12,Female,2020-21,2021,3272.0,0.6137,clovis district,clovis,district
12,Male,2020-21,2021,3341.0,0.5672,clovis district,clovis,district
12,White,2020-21,2021,1731.0,0.7204,clovis district,clovis,district
12,Black,2020-21,2021,363.0,0.5592,clovis district,clovis,district
12,Hispanic,2020-21,2021,4267.0,0.5292,clovis district,clovis,district
12,Asian,2020-21,2021,49.0,0.9388000000000001,clovis district,clovis,district
12,Native,2020-21,2021,31.0,0.6774,clovis district,clovis,district
12,EL,2020-21,2021,852.0,0.5282,clovis district,clovis,district
12,Migrant,2020-21,2021,137.0,0.4964,clovis district,clovis,district
13,Female,2020-21,2021,243.0,0.9259000000000001,texico district,texico,district
13,Male,2020-21,2021,242.0,0.9091,texico district,texico,district
13,White,2020-21,2021,257.0,0.9261,texico district,texico,district
13,Black,2020-21,2021,10.0,1.0,texico district,texico,district
13,Hispanic,2020-21,2021,213.0,0.9061,texico district,texico,district
13,Asian,2020-21,2021,,,texico district,texico,district
13,Native,2020-21,2021,,,texico district,texico,district
13,EL,2020-21,2021,41.0,0.8537,texico district,texico,district
13,Migrant,2020-21,2021,,,texico district,texico,district
14,Female,2020-21,2021,120.0,0.8667,melrose district,melrose,district
14,Male,2020-21,2021,128.0,0.8984000000000001,melrose district,melrose,district
14,White,2020-21,2021,194.0,0.8866,melrose district,melrose,district
14,Black,2020-21,2021,,,melrose district,melrose,district
14,Hispanic,2020-21,2021,48.0,0.875,melrose district,melrose,district
14,Asian,2020-21,2021,,,melrose district,melrose,district
14,Native,2020-21,2021,,,melrose district,melrose,district
14,EL,2020-21,2021,,,melrose district,melrose,district
14,Migrant,2020-21,2021,,,melrose district,melrose,district
15,Female,2020-21,2021,65.0,0.9077000000000001,grady district,grady,district
15,Male,2020-21,2021,86.0,0.8488,grady district,grady,district
15,White,2020-21,2021,98.0,0.8878,grady district,grady,district
15,Black,2020-21,2021,,,grady district,grady,district
15,Hispanic,2020-21,2021,49.0,0.8571000000000001,grady district,grady,district
15,Asian,2020-21,2021,,,grady district,grady,district
15,Native,2020-21,2021,,,grady district,grady,district
15,EL,2020-21,2021,,,grady district,grady,district
15,Migrant,2020-21,2021,,,grady district,grady,district
16,Female,2020-21,2021,118.0,0.8305,fort sumner district,ft sumner,district
16,Male,2020-21,2021,118.0,0.8220000000000001,fort sumner district,ft sumner,district
16,White,2020-21,2021,89.0,0.8876000000000001,fort sumner district,ft sumner,district
16,Black,2020-21,2021,,,fort sumner district,ft sumner,district
16,Hispanic,2020-21,2021,134.0,0.7836000000000001,fort sumner district,ft sumner,district
16,Asian,2020-21,2021,,,fort sumner district,ft sumner,district
16,Native,2020-21,2021,,,fort sumner district,ft sumner,district
16,EL,2020-21,2021,,,fort sumner district,ft sumner,district
16,Migrant,2020-21,2021,,,fort sumner district,ft sumner,district
17,Female,2020-21,2021,10299.0,0.9067000000000001,las cruces district,las cruces,district
17,Male,2020-21,2021,10575.0,0.8815000000000001,las cruces district,las cruces,district
17,White,2020-21,2021,3537.0,0.9409000000000001,las cruces district,las cruces,district
17,Black,2020-21,2021,433.0,0.8868,las cruces district,las cruces,district
17,Hispanic,2020-21,2021,16349.0,0.8833000000000001,las cruces district,las cruces,district
17,Asian,2020-21,2021,153.0,0.9608000000000001,las cruces district,las cruces,district
17,Native,2020-21,2021,240.0,0.9,las cruces district,las cruces,district
17,EL,2020-21,2021,3021.0,0.8583000000000001,las cruces district,las cruces,district
17,Migrant,2020-21,2021,253.0,0.7668,las cruces district,las cruces,district
18,Female,2020-21,2021,530.0,0.8434,hatch valley dist,hatch,unknown level
18,Male,2020-21,2021,559.0,0.8551000000000001,hatch valley dist,hatch,unknown level
18,White,2020-21,2021,29.0,0.8966000000000001,hatch valley dist,hatch,unknown level
18,Black,2020-21,2021,,,hatch valley dist,hatch,unknown level
18,Hispanic,2020-21,2021,1058.0,0.8488,hatch valley dist,hatch,unknown level
18,Asian,2020-21,2021,,,hatch valley dist,hatch,unknown level
18,Native,2020-21,2021,,,hatch valley dist,hatch,unknown level
18,EL,2020-21,2021,526.0,0.8498,hatch valley dist,hatch,unknown level
18,Migrant,2020-21,2021,44.0,0.7955,hatch valley dist,hatch,unknown level
19,Female,2020-21,2021,5553.0,0.7891,gadsden district,gadsden,district
19,Male,2020-21,2021,5809.0,0.749,gadsden district,gadsden,district
19,White,2020-21,2021,261.0,0.8238000000000001,gadsden district,gadsden,district
19,Black,2020-21,2021,35.0,,gadsden district,gadsden,district
19,Hispanic,2020-21,2021,11048.0,0.7665000000000001,gadsden district,gadsden,district
19,Asian,2020-21,2021,,,gadsden district,gadsden,district
19,Native,2020-21,2021,16.0,,gadsden district,gadsden,district
19,EL,2020-21,2021,4762.0,0.7276,gadsden district,gadsden,district
19,Migrant,2020-21,2021,145.0,0.7793,gadsden district,gadsden,district
20,Female,2020-21,2021,3834.0,0.7613000000000001,carlsbad district,carlsbad,district
20,Male,2020-21,2021,3818.0,0.7336,carlsbad district,carlsbad,district
20,White,2020-21,2021,2776.0,0.7813,carlsbad district,carlsbad,district
20,Black,2020-21,2021,107.0,0.757,carlsbad district,carlsbad,district
20,Hispanic,2020-21,2021,4530.0,0.7227,carlsbad district,carlsbad,district
20,Asian,2020-21,2021,65.0,0.8769,carlsbad district,carlsbad,district
20,Native,2020-21,2021,96.0,0.8125,carlsbad district,carlsbad,district
20,EL,2020-21,2021,597.0,0.6985,carlsbad district,carlsbad,district
20,Migrant,2020-21,2021,,,carlsbad district,carlsbad,district
21,Female,2020-21,2021,261.0,0.5172,loving district,loving,district
21,Male,2020-21,2021,268.0,0.5896,loving district,loving,district
21,White,2020-21,2021,116.0,0.5690000000000001,loving district,loving,district
21,Black,2020-21,2021,,,loving district,loving,district
21,Hispanic,2020-21,2021,407.0,0.5528000000000001,loving district,loving,district
21,Asian,2020-21,2021,,,loving district,loving,district
21,Native,2020-21,2021,,,loving district,loving,district
21,EL,2020-21,2021,80.0,0.5875,loving district,loving,district
21,Migrant,2020-21,2021,,,loving district,loving,district
22,Female,2020-21,2021,1599.0,0.6598,artesia district,artesia,district
22,Male,2020-21,2021,1574.0,0.6855,artesia district,artesia,district
22,White,2020-21,2021,1153.0,0.7285,artesia district,artesia,district
22,Black,2020-21,2021,16.0,0.75,artesia district,artesia,district
22,Hispanic,2020-21,2021,1955.0,0.6379,artesia district,artesia,district
22,Asian,2020-21,2021,,,artesia district,artesia,district
22,Native,2020-21,2021,35.0,0.6571,artesia district,artesia,district
22,EL,2020-21,2021,265.0,0.7547,artesia district,artesia,district
22,Migrant,2020-21,2021,,,artesia district,artesia,district
23,Female,2020-21,2021,987.0,0.7416,silver city district,silver city,district
23,Male,2020-21,2021,1021.0,0.7316,silver city district,silver city,district
23,White,2020-21,2021,615.0,0.8065,silver city district,silver city,district
23,Black,2020-21,2021,12.0,,silver city district,silver city,district
23,Hispanic,2020-21,2021,1317.0,0.7024,silver city district,silver city,district
23,Asian,2020-21,2021,10.0,1.0,silver city district,silver city,district
23,Native,2020-21,2021,16.0,0.75,silver city district,silver city,district
23,EL,2020-21,2021,44.0,0.75,silver city district,silver city,district
23,Migrant,2020-21,2021,,,silver city district,silver city,district
24,Female,2020-21,2021,480.0,0.7729,cobre district,cobre consolidated,district
24,Male,2020-21,2021,493.0,0.7404000000000001,cobre district,cobre consolidated,district
24,White,2020-21,2021,82.0,0.8537,cobre district,cobre consolidated,district
24,Black,2020-21,2021,,,cobre district,cobre consolidated,district
24,Hispanic,2020-21,2021,881.0,0.7469,cobre district,cobre consolidated,district
24,Asian,2020-21,2021,,,cobre district,cobre consolidated,district
24,Native,2020-21,2021,,,cobre district,cobre consolidated,district
24,EL,2020-21,2021,72.0,0.625,cobre district,cobre consolidated,district
24,Migrant,2020-21,2021,,,cobre district,cobre consolidated,district
25,Female,2020-21,2021,268.0,0.7761,santa rosa district,santa rosa,district
25,Male,2020-21,2021,280.0,0.7714000000000001,santa rosa district,santa rosa,district
25,White,2020-21,2021,23.0,0.7391000000000001,santa rosa district,santa rosa,district
25,Black,2020-21,2021,,,santa rosa district,santa rosa,district
25,Hispanic,2020-21,2021,518.0,0.7761,santa rosa district,santa rosa,district
25,Asian,2020-21,2021,,,santa rosa district,santa rosa,district
25,Native,2020-21,2021,,,santa rosa district,santa rosa,district
25,EL,2020-21,2021,29.0,0.6552,santa rosa district,santa rosa,district
25,Migrant,2020-21,2021,,,santa rosa district,santa rosa,district
26,Female,2020-21,2021,18.0,,vaughn district,vaughn,district
26,Male,2020-21,2021,27.0,0.7778,vaughn district,vaughn,district
26,White,2020-21,2021,,,vaughn district,vaughn,district
26,Black,2020-21,2021,,,vaughn district,vaughn,district
26,Hispanic,2020-21,2021,39.0,0.8462000000000001,vaughn district,vaughn,district
26,Asian,2020-21,2021,,,vaughn district,vaughn,district
26,Native,2020-21,2021,,,vaughn district,vaughn,district
26,EL,2020-21,2021,,,vaughn district,vaughn,district
26,Migrant,2020-21,2021,,,vaughn district,vaughn,district
27,Female,2020-21,2021,18.0,,roy district,roy,district
27,Male,2020-21,2021,27.0,,roy district,roy,district
27,White,2020-21,2021,11.0,,roy district,roy,district
27,Black,2020-21,2021,,,roy district,roy,district
27,Hispanic,2020-21,2021,33.0,,roy district,roy,district
27,Asian,2020-21,2021,,,roy district,roy,district
27,Native,2020-21,2021,,,roy district,roy,district
27,EL,2020-21,2021,,,roy district,roy,district
27,Migrant,2020-21,2021,,,roy district,roy,district
28,Female,2020-21,2021,44.0,,mosquero district,mosquero,district
28,Male,2020-21,2021,50.0,0.9400000000000001,mosquero district,mosquero,district
28,White,2020-21,2021,64.0,,mosquero district,mosquero,district
28,Black,2020-21,2021,,,mosquero district,mosquero,district
28,Hispanic,2020-21,2021,29.0,,mosquero district,mosquero,district
28,Asian,2020-21,2021,,,mosquero district,mosquero,district
28,Native,2020-21,2021,,,mosquero district,mosquero,district
28,EL,2020-21,2021,,,mosquero district,mosquero,district
28,Migrant,2020-21,2021,,,mosquero district,mosquero,district
29,Female,2020-21,2021,223.0,0.6906,lordsburg district,lordsburg,district
29,Male,2020-21,2021,189.0,0.6772,lordsburg district,lordsburg,district
29,White,2020-21,2021,55.0,0.7091000000000001,lordsburg district,lordsburg,district
29,Black,2020-21,2021,,,lordsburg district,lordsburg,district
29,Hispanic,2020-21,2021,350.0,0.6771,lordsburg district,lordsburg,district
29,Asian,2020-21,2021,,,lordsburg district,lordsburg,district
29,Native,2020-21,2021,,,lordsburg district,lordsburg,district
29,EL,2020-21,2021,,,lordsburg district,lordsburg,district
29,Migrant,2020-21,2021,,,lordsburg district,lordsburg,district
30,Female,2020-21,2021,72.0,0.7639,animas district,animas,district
30,Male,2020-21,2021,62.0,0.7742,animas district,animas,district
30,White,2020-21,2021,87.0,0.7931,animas district,animas,district
30,Black,2020-21,2021,,,animas district,animas,district
30,Hispanic,2020-21,2021,39.0,0.7179,animas district,animas,district
30,Asian,2020-21,2021,,,animas district,animas,district
30,Native,2020-21,2021,,,animas district,animas,district
30,EL,2020-21,2021,,,animas district,animas,district
30,Migrant,2020-21,2021,,,animas district,animas,district
31,Female,2020-21,2021,1513.0,0.8361000000000001,lovington district,lovington,district
31,Male,2020-21,2021,1629.0,0.8336,lovington district,lovington,district
31,White,2020-21,2021,720.0,0.8153,lovington district,lovington,district
31,Black,2020-21,2021,50.0,0.8,lovington district,lovington,district
31,Hispanic,2020-21,2021,2342.0,0.8399000000000001,lovington district,lovington,district
31,Asian,2020-21,2021,18.0,,lovington district,lovington,district
31,Native,2020-21,2021,11.0,,lovington district,lovington,district
31,EL,2020-21,2021,887.0,0.8253,lovington district,lovington,district
31,Migrant,2020-21,2021,,,lovington district,lovington,district
32,Female,2020-21,2021,308.0,0.8084,eunice district,eunice,district
32,Male,2020-21,2021,359.0,0.7799,eunice district,eunice,district
32,White,2020-21,2021,234.0,0.8248000000000001,eunice district,eunice,district
32,Black,2020-21,2021,,,eunice district,eunice,district
32,Hispanic,2020-21,2021,422.0,0.7749,eunice district,eunice,district
32,Asian,2020-21,2021,,,eunice district,eunice,district
32,Native,2020-21,2021,,,eunice district,eunice,district
32,EL,2020-21,2021,68.0,0.7794000000000001,eunice district,eunice,district
32,Migrant,2020-21,2021,,,eunice district,eunice,district
33,Female,2020-21,2021,4255.0,0.4879,hobbs district,hobbs,district
33,Male,2020-21,2021,4364.0,0.4989,hobbs district,hobbs,district
33,White,2020-21,2021,1728.0,0.5029,hobbs district,hobbs,district
33,Black,2020-21,2021,313.0,0.3834,hobbs district,hobbs,district
33,Hispanic,2020-21,2021,6458.0,0.4932,hobbs district,hobbs,district
33,Asian,2020-21,2021,44.0,0.7727,hobbs district,hobbs,district
33,Native,2020-21,2021,30.0,0.5333,hobbs district,hobbs,district
33,EL,2020-21,2021,1802.0,0.5311,hobbs district,hobbs,district
33,Migrant,2020-21,2021,14.0,0.35710000000000003,hobbs district,hobbs,district
34,Female,2020-21,2021,214.0,0.7383000000000001,jal district,jal,district
34,Male,2020-21,2021,220.0,0.7955,jal district,jal,district
34,White,2020-21,2021,91.0,0.7692,jal district,jal,district
34,Black,2020-21,2021,,,jal district,jal,district
34,Hispanic,2020-21,2021,342.0,0.7661,jal district,jal,district
34,Asian,2020-21,2021,,,jal district,jal,district
34,Native,2020-21,2021,,,jal district,jal,district
34,EL,2020-21,2021,49.0,0.8163,jal district,jal,district
34,Migrant,2020-21,2021,,,jal district,jal,district
35,Female,2020-21,2021,142.0,0.8451000000000001,tatum district,tatum,district
35,Male,2020-21,2021,158.0,0.7911,tatum district,tatum,district
35,White,2020-21,2021,146.0,0.8562000000000001,tatum district,tatum,district
35,Black,2020-21,2021,,,tatum district,tatum,district
35,Hispanic,2020-21,2021,149.0,0.7785000000000001,tatum district,tatum,district
35,Asian,2020-21,2021,,,tatum district,tatum,district
35,Native,2020-21,2021,,,tatum district,tatum,district
35,EL,2020-21,2021,33.0,0.6970000000000001,tatum district,tatum,district
35,Migrant,2020-21,2021,,,tatum district,tatum,district
36,Female,2020-21,2021,781.0,0.5352,ruidoso district,ruidoso,district
36,Male,2020-21,2021,806.0,0.5199,ruidoso district,ruidoso,district
36,White,2020-21,2021,452.0,0.5642,ruidoso district,ruidoso,district
36,Black,2020-21,2021,,,ruidoso district,ruidoso,district
36,Hispanic,2020-21,2021,855.0,0.5193,ruidoso district,ruidoso,district
36,Asian,2020-21,2021,16.0,0.5625,ruidoso district,ruidoso,district
36,Native,2020-21,2021,238.0,0.4958,ruidoso district,ruidoso,district
36,EL,2020-21,2021,199.0,0.47740000000000005,ruidoso district,ruidoso,district
36,Migrant,2020-21,2021,,,ruidoso district,ruidoso,district
37,Female,2020-21,2021,50.0,0.76,carrizozo district,carrizozo,district
37,Male,2020-21,2021,61.0,0.8361000000000001,carrizozo district,carrizozo,district
37,White,2020-21,2021,40.0,0.775,carrizozo district,carrizozo,district
37,Black,2020-21,2021,,,carrizozo district,carrizozo,district
37,Hispanic,2020-21,2021,70.0,0.8286,carrizozo district,carrizozo,district
37,Asian,2020-21,2021,,,carrizozo district,carrizozo,district
37,Native,2020-21,2021,,,carrizozo district,carrizozo,district
37,EL,2020-21,2021,,,carrizozo district,carrizozo,district
37,Migrant,2020-21,2021,,,carrizozo district,carrizozo,district
38,Female,2020-21,2021,24.0,,corona district,corona,district
38,Male,2020-21,2021,30.0,,corona district,corona,district
38,White,2020-21,2021,36.0,,corona district,corona,district
38,Black,2020-21,2021,,,corona district,corona,district
38,Hispanic,2020-21,2021,18.0,,corona district,corona,district
38,Asian,2020-21,2021,,,corona district,corona,district
38,Native,2020-21,2021,,,corona district,corona,district
38,EL,2020-21,2021,,,corona district,corona,district
38,Migrant,2020-21,2021,,,corona district,corona,district
39,Female,2020-21,2021,56.0,0.75,hondo valley district,hondo,district
39,Male,2020-21,2021,65.0,0.9077000000000001,hondo valley district,hondo,district
39,White,2020-21,2021,21.0,0.8571000000000001,hondo valley district,hondo,district
39,Black,2020-21,2021,,,hondo valley district,hondo,district
39,Hispanic,2020-21,2021,99.0,0.8384,hondo valley district,hondo,district
39,Asian,2020-21,2021,,,hondo valley district,hondo,district
39,Native,2020-21,2021,,,hondo valley district,hondo,district
39,EL,2020-21,2021,23.0,0.6957,hondo valley district,hondo,district
39,Migrant,2020-21,2021,,,hondo valley district,hondo,district
40,Female,2020-21,2021,175.0,0.8057000000000001,capitan district,capitan,district
40,Male,2020-21,2021,184.0,0.7011000000000001,capitan district,capitan,district
40,White,2020-21,2021,227.0,0.7709,capitan district,capitan,district
40,Black,2020-21,2021,,,capitan district,capitan,district
40,Hispanic,2020-21,2021,117.0,0.7265,capitan district,capitan,district
40,Asian,2020-21,2021,,,capitan district,capitan,district
40,Native,2020-21,2021,,,capitan district,capitan,district
40,EL,2020-21,2021,,,capitan district,capitan,district
40,Migrant,2020-21,2021,,,capitan district,capitan,district
41,Female,2020-21,2021,1573.0,0.9269000000000001,los alamos district,los alamos,district
41,Male,2020-21,2021,1570.0,0.9255,los alamos district,los alamos,district
41,White,2020-21,2021,1705.0,0.9249,los alamos district,los alamos,district
41,Black,2020-21,2021,25.0,0.88,los alamos district,los alamos,district
41,Hispanic,2020-21,2021,1097.0,0.9216000000000001,los alamos district,los alamos,district
41,Asian,2020-21,2021,139.0,0.9784,los alamos district,los alamos,district
41,Native,2020-21,2021,54.0,0.8704000000000001,los alamos district,los alamos,district
41,EL,2020-21,2021,131.0,0.9237000000000001,los alamos district,los alamos,district
41,Migrant,2020-21,2021,,,los alamos district,los alamos,district
42,Female,2020-21,2021,2056.0,0.3784,deming district,deming,district
42,Male,2020-21,2021,2159.0,0.3543,deming district,deming,district
42,White,2020-21,2021,443.0,0.5079,deming district,deming,district
42,Black,2020-21,2021,47.0,0.3617,deming district,deming,district
42,Hispanic,2020-21,2021,3688.0,0.34840000000000004,deming district,deming,district
42,Asian,2020-21,2021,12.0,0.5,deming district,deming,district
42,Native,2020-21,2021,12.0,0.5833,deming district,deming,district
42,EL,2020-21,2021,1703.0,0.2924,deming district,deming,district
42,Migrant,2020-21,2021,293.0,0.2082,deming district,deming,district
43,Female,2020-21,2021,4913.0,0.5418000000000001,gallup district,gallup,district
43,Male,2020-21,2021,5170.0,0.5188,gallup district,gallup,district
43,White,2020-21,2021,627.0,0.4657,gallup district,gallup,district
43,Black,2020-21,2021,55.0,0.2364,gallup district,gallup,district
43,Hispanic,2020-21,2021,1812.0,0.5099,gallup district,gallup,district
43,Asian,2020-21,2021,99.0,0.9192,gallup district,gallup,district
43,Native,2020-21,2021,7302.0,0.5382,gallup district,gallup,district
43,EL,2020-21,2021,2894.0,0.49720000000000003,gallup district,gallup,district
43,Migrant,2020-21,2021,,,gallup district,gallup,district
44,Female,2020-21,2021,186.0,0.8656,mora district,mora,district
44,Male,2020-21,2021,179.0,0.8659,mora district,mora,district
44,White,2020-21,2021,19.0,0.6842,mora district,mora,district
44,Black,2020-21,2021,,,mora district,mora,district
44,Hispanic,2020-21,2021,346.0,0.8757,mora district,mora,district
44,Asian,2020-21,2021,,,mora district,mora,district
44,Native,2020-21,2021,,,mora district,mora,district
44,EL,2020-21,2021,32.0,0.7813,mora district,mora,district
44,Migrant,2020-21,2021,,,mora district,mora,district
45,Female,2020-21,2021,35.0,0.7143,wagon mound district,wagon mound,district
45,Male,2020-21,2021,34.0,0.6471,wagon mound district,wagon mound,district
45,White,2020-21,2021,,,wagon mound district,wagon mound,district
45,Black,2020-21,2021,,,wagon mound district,wagon mound,district
45,Hispanic,2020-21,2021,61.0,0.6721,wagon mound district,wagon mound,district
45,Asian,2020-21,2021,,,wagon mound district,wagon mound,district
45,Native,2020-21,2021,,,wagon mound district,wagon mound,district
45,EL,2020-21,2021,,,wagon mound district,wagon mound,district
45,Migrant,2020-21,2021,,,wagon mound district,wagon mound,district
46,Female,2020-21,2021,2168.0,0.7754000000000001,alamogordo district,alamogordo,district
46,Male,2020-21,2021,2371.0,0.7482000000000001,alamogordo district,alamogordo,district
46,White,2020-21,2021,1899.0,0.7915000000000001,alamogordo district,alamogordo,district
46,Black,2020-21,2021,275.0,0.6909000000000001,alamogordo district,alamogordo,district
46,Hispanic,2020-21,2021,1947.0,0.7278,alamogordo district,alamogordo,district
46,Asian,2020-21,2021,93.0,0.8495,alamogordo district,alamogordo,district
46,Native,2020-21,2021,82.0,0.7439,alamogordo district,alamogordo,district
46,EL,2020-21,2021,187.0,0.7273000000000001,alamogordo district,alamogordo,district
46,Migrant,2020-21,2021,,,alamogordo district,alamogordo,district
47,Female,2020-21,2021,346.0,0.6965,tularosa district,tularosa,district
47,Male,2020-21,2021,353.0,0.7025,tularosa district,tularosa,district
47,White,2020-21,2021,176.0,0.7557,tularosa district,tularosa,district
47,Black,2020-21,2021,,,tularosa district,tularosa,district
47,Hispanic,2020-21,2021,318.0,0.7013,tularosa district,tularosa,district
47,Asian,2020-21,2021,,,tularosa district,tularosa,district
47,Native,2020-21,2021,191.0,0.644,tularosa district,tularosa,district
47,EL,2020-21,2021,16.0,0.6875,tularosa district,tularosa,district
47,Migrant,2020-21,2021,,,tularosa district,tularosa,district
48,Female,2020-21,2021,159.0,0.8113,cloudcroft district,cloudcroft,district
48,Male,2020-21,2021,156.0,0.8205,cloudcroft district,cloudcroft,district
48,White,2020-21,2021,241.0,0.8216,cloudcroft district,cloudcroft,district
